title,url
The shadowy Hamas leader behind the war against Israel,https://www.npr.org/2023/12/03/1216138367/hamas-gaza-leader-yahya-sinwar
This Palestinian American professor leans on his Quaker faith during conflict,https://www.npr.org/2023/12/03/1216138611/this-palestinian-american-professor-leans-on-his-quaker-faith-during-conflict
What the resumption of Israel-Hamas fighting means for Palestinians in Israeli jails,https://www.npr.org/2023/12/03/1216382810/palestinian-prisoners-israel-hamas-war
Biden used to keep quiet about Trump. Now Biden's invoking his name to raise alarms,https://www.npr.org/2023/12/03/1216809440/biden-trump-2024-presidential-campaign-strategy-obamacare
Philippine president says 'foreign terrorists' behind bomb that killed 4 during mass,https://www.npr.org/2023/12/03/1216833307/philippine-president-says-foreign-terrorists-behind-bomb-that-killed-4-during-ma
Some Israeli hostages are coming home. What will their road to recovery look like?,https://www.npr.org/2023/12/02/1216210180/israeli-gaza-hostages-recovery
Waiting for water: It's everywhere in this Colombian city — except in the pipes,https://www.npr.org/sections/goatsandsoda/2023/12/03/1216561130/colombia-water-scarcity
Authorities announce arrest of man in killings of 3 unhoused people across Los Angeles,https://laist.com/news/criminal-justice/three-unhoused-people-shot-killed-la?v-1
Liz Cheney is back and unloading on the current leaders of her ancestral GOP,https://www.npr.org/2023/12/02/1216333620/liz-cheney-book-republicans
Kiss performs its final concert. But has the band truly reached the 'End of the Road'?,https://www.npr.org/2023/12/02/1216753192/kiss-band-final-concert-end-of-the-road
Israel says it has hit more than 400 targets in Gaza since end of truce with Hamas,https://www.npr.org/2023/12/02/1216705856/hamas-israel-palestinians-gaza-war-ceasefire
The GOP primary campaign could be over just as Trump's trials are getting underway,https://www.npr.org/2023/12/02/1216400324/gop-republican-primary-delegates-trump-trials
Venezuelans to vote in referendum over large territory under dispute with Guyana,https://www.npr.org/2023/12/03/1216832467/venezuelans-to-vote-in-referendum-over-large-territory-under-dispute-with-guyana
"Author John Nichols, who believed that writing was a radical act, dies at 83",https://www.npr.org/2023/12/03/685169564/author-john-nichols-who-believed-that-writing-was-a-radical-act-dies-at-83
"In Dubai, Harris deals with 2 issues important to young voters: climate and Gaza",https://www.npr.org/2023/12/02/1216719613/harris-dubai-climate-gaza-young-voters
"Some doctors are ditching the scale, saying focusing on weight drives misdiagnoses",https://www.npr.org/sections/health-shots/2023/12/02/1216455346/doctors-weight-loss-neutral-inclusive-misdiagnoses
